名称,helm,pauldron,armor,taorobe,bracelet,glove,magesigil,belt,pant,boot,necklace,ring,charm1,charm2,charm3,sword,woodsword,sword2h,ugs,dao,katana,dao2h,axe,axe2h,mace,mace2h,dagger,staff,magestaff,polearm,instrument,rune,runeword,set
力量(str),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
魔力(int),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
道术(spi),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
体力(vit),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
基础生命上限(maxhp),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
生命上限(mhex),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
基础魔法上限(maxmp),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
魔法上限(mpex),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,✔,,,,,,,,,,,,✔,,✔,,,
恢复生命(hreg),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,,,,,,,,,,,,,,,,,
恢复魔法(mreg),✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,✔,,,,,,,,,,,,✔,,✔,,,
近战吸血(ll),,,,,,,,,,,✔,✔,,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,✔,,,,
近战吸魔(ml),,,,,,,,,,,✔,✔,,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,✔,,,,
召唤物恢复生命(sumreg),✔,,,✔,,,✔,,,,✔,✔,✔,✔,✔,,✔,,,,,,,,,,,,✔,,✔,,,
击杀回血(killhp),✔,,,,,✔,,,,,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
击杀回蓝(killmp),✔,,,✔,,✔,✔,,,,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
物理伤害(xdmg),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
火焰伤害(fdmg),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
风雷伤害(tdmg),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
神圣伤害(hdmg),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
毒素伤害(pdmg),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
最小物理伤害(xdmglo),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
最小火焰伤害(fdmglo),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
最小风雷伤害(tdmglo),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
最小神圣伤害(hdmglo),,,,,,,,,,,✔,✔,,,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,,,
